INV,C_TYPE,C_PLANT,C_MARK,C_BODY,C_GROUP,N_CHASS,N_ENG,N_BODY,YEA_,N_PASS,D_PASS,SIGN,SIGN1,SIGN2,D_SIGN,D_EXPL,C_CLASS,C_COLOR,C_DUTY,C_OWNER,COST,SUBD,SUBC,YEAR_A,C_SOUR,N_SOUR,D_SOUR,C_STOR,N_STOR,D_STOR,N_ALOC,D_ALOC,D_TRANS,D_DEL,NORM_R,NORM_P,NORM_O,C_SFIN,C_BUY
2.1800000000000000e+02,"A(","C*","ON","D-","E*","612242","30602212",,1985,"ВТ 882017",,"0286ром",,,,"03/18/85 00:00:00","F*",,"H1","(2)",,,,,"I+","462","02/15/85 00:00:00","J-","289","03/14/85 00:00:00","2","01/05/85 00:00:00","03/18/85 00:00:00","04/21/92 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.1900000000000000e+02,"A(","C*","ON","D-","E*","101","10308566",,1985,"ВР 341814",,"0286ром",,,,"03/18/85 00:00:00","F*",,"H1","(2)",,,,,"I+","10/3-462","02/15/85 00:00:00","J-","289","03/14/85 00:00:00","2","01/05/85 00:00:00","03/18/85 00:00:00","05/07/92 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2000000000000000e+02,"A(","C*","OQ","D-","E*","065876","60801119",,1986,"ВУ 712910",,"0252ром",,,,"01/16/87 00:00:00","F*",,"H1","(2)",,,,,"I+","10/3-630","02/24/86 00:00:00","J-","723","10/27/86 00:00:00","2","01/05/87 00:00:00","01/16/87 00:00:00","05/15/92 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2100000000000000e+02,"A(","C*","ON","D-","E*","564451","50403199",,1984,"ВР 340537",,"0280ром",,,,"05/28/84 00:00:00","F*",,"H1","(2)",,,,,"I+","1/1648","03/29/84 00:00:00","J-","483","05/23/84 00:00:00","2","01/05/84 00:00:00","05/28/84 00:00:00","05/20/92 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2200000000000000e+02,"A(","C*","ON","D-","E*","520372","34309720",,1983,"ВР 335388",,"0270ром",,,,"05/20/83 00:00:00","F*",,"H1","(2)",,,,,"I+","10/3-722","03/15/83 00:00:00","J-","570","05/12/83 00:00:00","3","04/04/83 00:00:00","05/20/83 00:00:00","11/28/91 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2300000000000000e+02,"A(","C*","ON","D-","E*","25","4048946",,1983,"ВП 876072",,"0268ром",,,,"07/28/83 00:00:00","F*",,"H1","(2)",,,,,"I+","10/3-722","03/15/83 00:00:00","J-","854","07/21/83 00:00:00","2","01/05/83 00:00:00","07/28/83 00:00:00","01/21/92 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2400000000000000e+02,"A(","C*","ON","D-","E*","532863","30609381",,1983,"ВП 876073",,"0269ром",,,,"07/28/83 00:00:00","F*",,"H1","(2)",,,,,"I+","10/3-722","03/15/83 00:00:00","J-","854","07/21/83 00:00:00","3","01/05/83 00:00:00","07/28/83 00:00:00","11/27/91 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2500000000000000e+02,"A(","C*","ON","D-","E*","464837","1209800р",,1982,"ВД 369237",,"0735роф",,,,"04/26/82 00:00:00","F*",,"H1","(2)",,,,,"I*","15/4-220","01/14/82 00:00:00","J-","451","04/22/82 00:00:00","2","03/02/82 00:00:00","04/26/82 00:00:00","10/29/91 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2600000000000000e+02,"A(","C*","OQ","D-","E*","014791","50810267",,1985,"ВТ 575092",,"0485роф",,,,"10/31/85 00:00:00","F*",,"H1","(2)",,,,,"I+","10/3-462","02/15/85 00:00:00","J-","1207","02/05/84 00:00:00","2","01/05/85 00:00:00","10/31/85 00:00:00","04/30/92 00:00:00",2.9000000000000000e+03,1.8500000000000000e+01,,,
2.2700000000000000e+02,"A6","C+","Pf","D3","E4","2252988","152903",,1984,"ВТ 573539",,"0236рдф",,,,"08/19/85 00:00:00",,,"H1","(2)",,,,,"I+",,,"J0","3/1287","06/24/85 00:00:00","2","01/05/85 00:00:00","08/19/85 00:00:00",,2.9000000000000000e+03,3.5000000000000000e+01,,,
2.2800000000000000e+02,"A+","C)","P^","D1","E:","0578732","110596",,1983,"ВР 332331",,"0756роф",,,,"02/01/83 00:00:00",,,"H1","(2)",,,,,"I*","15/4-220","01/14/82 00:00:00","J2","0206293","01/01/82 00:00:00","2","03/02/82 00:00:00","02/01/82 00:00:00","07/21/92 00:00:00",2.0800000000000000e+03,2.2000000000000000e+01,,,
2.2900000000000000e+02,"A.","C1","SС",,"EF","б/н","786243",,1988,"ВУ 721055",,"0527рох",,,,"02/09/88 00:00:00",,,"H,","(2)",,,,,"I*","15/4-5761","12/24/87 00:00:00","J2","28273679","01/26/88 00:00:00","2","01/05/88 00:00:00","02/09/88 00:00:00",,1.2500000000000000e+03,8.4000000000000004e+00,,,
2.3000000000000000e+02,"A.","C1","SС",,"EF","279145","720583",,1987,"ВУ 172436",,"0216рон",,,,"09/14/87 00:00:00",,,"H1","(2)",,,,,"I*","15/4-419","02/02/87 00:00:00","J2","28279828","09/02/87 00:00:00","2","01/05/87 00:00:00","09/14/87 00:00:00","04/17/92 00:00:00",1.2500000000000000e+03,8.4000000000000004e+00,,,
2.3100000000000000e+02,"A.","C1","SЛ",,"EF","б/н","703334",,1984,"ВР 340922",,"0153рон",,,,"06/27/84 00:00:00",,,"H1","(2)",,,,,"I+","1/1648","03/29/84 00:00:00","J2","779442","06/01/84 00:00:00","2","01/05/84 00:00:00","06/27/84 00:00:00","11/29/91 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.3200000000000000e+02,"A.","C2","SТ",,"EF","321100","198788",,1987,"ВУ 172498",,"0154рду",,,,"11/30/87 00:00:00",,,"H1","(2)",,,,,"I*","15/4-419","02/02/87 00:00:00","J2","79750920","10/24/87 00:00:00","2","01/05/87 00:00:00","11/30/87 00:00:00","10/18/93 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.3300000000000000e+02,"A.","C2","SТ",,"EF","б/н","014497",,1986,"ВТ 576818",,"0200рон",,,,"08/21/86 00:00:00",,,"H1","(2)",,,,,"I+","10/3-630","02/24/86 00:00:00","J2","79751271","08/06/86 00:00:00","2","01/05/86 00:00:00","08/21/86 00:00:00","07/28/92 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.3400000000000000e+02,"A.","C2","SН",,"EF","627710","068564",,1983,"ВР 335479",,"0144рон",,,,"09/12/83 00:00:00",,,"H1","(2)",,,,,"I+","10/3-722","03/15/83 00:00:00","J2","797645","08/29/83 00:00:00","2","01/05/83 00:00:00","09/12/83 00:00:00",,1.2500000000000000e+03,7.5000000000000000e+00,,,
2.3500000000000000e+02,"A.","C2","SН",,"EF","б/н","998651",,1980,"ВО 190962",,"0056рду",,,,"12/27/80 00:00:00",,,"H1","(2)",,,,,"I*","15/4-6500","12/27/79 00:00:00","J2","79763727","12/23/80 00:00:00","3","03/04/80 00:00:00","12/27/80 00:00:00","12/25/91 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.3600000000000000e+02,"A6","C)","Pv","D3","E8","0286370","7554582",,1982,"ВП 564270",,"0072рду",,,"01/10/86 00:00:00","07/14/82 00:00:00",,,"H0","((",,,,,"I<",,,,"223225","07/01/82 00:00:00","2","01/05/82 00:00:00","07/14/82 00:00:00","01/26/92 00:00:00",2.0800000000000000e+03,3.4000000000000000e+01,,,
2.3700000000000000e+02,"A6","C*","P(","D3","E=","0045391","00410959","6824",1990,"ВШ 229468",,"1709рдб",,,,"06/26/90 00:00:00",,,"HW","((",,,,,"I-",,"06/06/90 00:00:00",,"97891","05/24/90 00:00:00","2","01/05/90 00:00:00","06/26/90 00:00:00",,2.0800000000000000e+03,1.8500000000000000e+01,,,
2.3800000000000000e+02,"A*","C-","QY","D0","E6",,"54148","133828",1986,"ВУ 712099",,"0252ром",,,,"10/21/86 00:00:00","F)",,"H0","(2(",,,,,"I+","10/3-630","02/24/86 00:00:00","J2","06567","10/14/86 00:00:00","2","01/05/86 00:00:00","05/01/91 00:00:00","08/06/92 00:00:00",2.0800000000000000e+03,1.6500000000000000e+01,,,
2.3900000000000000e+02,"A6","C)","P^","D3","E.","408323","036497","156",1981,"ВО 561867",,"0197роф",,,"03/01/86 00:00:00","07/27/81 00:00:00",,,"H3","(22",,,,,"I+","10/3-1555","06/01/81 00:00:00","J-","883","06/20/81 00:00:00","5","07/26/81 00:00:00","07/27/81 00:00:00","02/08/91 00:00:00",2.9000000000000000e+03,2.5000000000000000e+01,,,
2.4000000000000000e+02,"A(","C(","N8","D(","E)",,"1172891","42366419",1990,"ВШ 235049",,"0793ром",,,,"06/06/90 00:00:00","F)",,,"(22",,,,,"I(","247","09/28/89 00:00:00","J=",,"01/01/90 00:00:00","2","01/05/90 00:00:00","06/06/90 00:00:00",,2.0800000000000000e+03,9.0000000000000000e+00,,,
2.4100000000000000e+02,"A+","C,","U)","D3","E:","079879","3852463",,1983,"ВР 567254",,"1408рдб",,,,"01/12/90 00:00:00",,,,"(22",,,,,"I(","247","09/28/89 00:00:00",,,"01/01/90 00:00:00","2","01/05/90 00:00:00","01/12/90 00:00:00",,2.0800000000000000e+03,1.1000000000000000e+01,,,
2.4200000000000000e+02,"A(","C*","OO","D,","E)","131","3021664","3446",1981,"ВО 560413",,"1625рдб",,,"12/18/86 00:00:00","08/05/83 00:00:00","F*",,,"(22",,,,,"I,",,,"J/","322","08/05/83 00:00:00","5","01/05/83 00:00:00","08/05/83 00:00:00","12/12/91 00:00:00",2.0800000000000000e+03,1.6000000000000000e+01,,,
2.4300000000000000e+02,"A(","C*","ON","D-","E(","287","50804590",,1984,"ВР 341166",,"0253рда",,,,"10/18/84 00:00:00","F*",,"H*","(22",,,,,"I+","1/1648","03/29/84 00:00:00","J-","970","10/01/84 00:00:00","2","01/05/84 00:00:00","10/18/84 00:00:00","07/23/92 00:00:00",4.1600000000000000e+03,1.8500000000000000e+01,,,
2.4400000000000000e+02,"A+","C3","P)","D3","E:",,"17674","192897",1989,"ВТ 302891",,"0577рда",,,,"03/21/89 00:00:00",,,,"(22",,,,,"I*","15/4-211","01/25/89 00:00:00","J2",,"01/01/89 00:00:00","2","01/05/89 00:00:00","03/21/89 00:00:00",,2.9000000000000000e+03,1.5000000000000000e+01,,,
2.4500000000000000e+02,"A(","C*","ON","D-","E(","432073","100575 С",,1981,"ВП 543241",,"0723роф",,,,"10/08/81 00:00:00","F*",,,"(22",,,,,"I*","15/4-450","01/28/81 00:00:00","J-","1138","10/02/81 00:00:00","2","02/25/81 00:00:00","10/08/81 00:00:00","07/07/92 00:00:00",4.1600000000000000e+03,1.8500000000000000e+01,,,
2.4600000000000000e+02,"A.","C2","SТ",,"EF","309446","185896",,1987,"ВУ 721093",,"0464рон",,,,"03/14/88 00:00:00",,,"H,","(22",,,,,"I*","15/4-419","02/02/87 00:00:00","J2","79750920","10/24/87 00:00:00","2","01/05/88 00:00:00","03/14/88 00:00:00","04/17/92 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.4700000000000000e+02,"A.","C2","SТ",,"EF","318255","198218",,1987,"ВУ 172493",,"0212рон",,,,"11/17/87 00:00:00",,,"H,","(22",,,,,"I*","15/4-419","02/02/87 00:00:00","J2","79750920","10/24/87 00:00:00","2","01/05/87 00:00:00","11/17/87 00:00:00","08/27/92 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.4800000000000000e+02,"A.","C2","SТ",,"EF","б/н","554635",,1986,"ВТ 576833",,"0206рон",,,,"09/02/86 00:00:00",,,"H,","(22",,,,,"I+","10/3-630","02/24/86 00:00:00","J2","79750579","07/21/86 00:00:00","2","01/05/86 00:00:00","09/02/86 00:00:00",,1.2500000000000000e+03,7.5000000000000000e+00,,,
2.4900000000000000e+02,"A.","C1","SС",,"EF","540452","008586",,1989,"ВШ 228555",,"0375рос",,,,"12/11/89 00:00:00",,,"H,","(22",,,,,"I*","15/4-211","01/25/89 00:00:00","J2","28318085","11/15/89 00:00:00","2","01/05/89 00:00:00","12/11/89 00:00:00",,1.2500000000000000e+03,8.4000000000000004e+00,,,
2.5000000000000000e+02,"A.","C1","SС",,"EF","539619","007985",,1989,"ВШ 228554",,"0058рох",,,,"12/11/89 00:00:00",,,"H,","(22",,,,,"I*","15/4-211","01/25/89 00:00:00","J2","28318085","11/15/89 00:00:00","2","01/05/89 00:00:00","12/11/89 00:00:00",,1.2500000000000000e+03,8.4000000000000004e+00,,,
2.5100000000000000e+02,"A.","C2","SТ",,"EF","б/н","158766",,1986,"ВУ 172279",,"0541роо",,,,"03/24/87 00:00:00",,,"H,","(22",,,,,"I+","10/3-630","02/24/86 00:00:00","J2","79751271","08/06/86 00:00:00","2","01/05/87 00:00:00","03/24/87 00:00:00",,1.2500000000000000e+03,7.5000000000000000e+00,,,
2.5200000000000000e+02,"A.","C1","SЛ",,"EF","б/н","457771",,1978,"ВК 526326",,"0014рою",,,,"06/02/78 00:00:00",,,"H,","(22",,,,,"I*","15/4-610","02/03/78 00:00:00","J2","937837","05/26/78 00:00:00","3","03/17/78 00:00:00","03/18/82 00:00:00","10/22/92 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.5300000000000000e+02,"A(","C*","OQ","D,","E)","0245550","91205103","2126",1990,,,"0776рдб",,,,"03/10/90 00:00:00","F*",,,"(20",,,,,"I(","247","09/28/89 00:00:00","J=",,"01/01/90 00:00:00","2","01/05/90 00:00:00","03/10/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,
2.5400000000000000e+02,"A(","C/","N+","D(","E)","873321","2220390","1802293",1979,"ВН 252909",,"0922",,,"08/26/86 00:00:00","12/07/81 00:00:00","F)",,,"(20",,,,,"I*","15/4-5871","11/09/81 00:00:00","J3","акт передачи","12/02/81 00:00:00","2","01/05/81 00:00:00","08/02/90 00:00:00","03/28/91 00:00:00",2.0800000000000000e+03,1.1000000000000000e+01,,,
2.5500000000000000e+02,"A(","C(","N/","D(","E)",,"7719931","4413976",1984,"ВР 572819",,"0864ром",,,"04/29/86 00:00:00","04/09/84 00:00:00","F)",,,"(20",,,,,"I+","1/1648","03/29/84 00:00:00","J/","3/4220","04/08/84 00:00:00","2","01/05/84 00:00:00","04/09/84 00:00:00","03/25/91 00:00:00",2.0800000000000000e+03,8.5000000000000000e+00,,,
2.5600000000000000e+02,"A(","C(","N/","D(","E)",,"6823272","4289288",1983,"ВО 554810",,"1195рдб",,,"05/13/86 00:00:00","08/12/85 00:00:00","F)",,,"(20",,,,,"I+",,,,,"01/01/85 00:00:00","2","01/05/85 00:00:00","08/12/85 00:00:00","10/21/91 00:00:00",2.0800000000000000e+03,8.5000000000000000e+00,,,
2.5700000000000000e+02,"A.","C1","SЛ",,"EF","б/н","853110",,1984,"ВР 340911",,"0153рон",,,,"07/02/84 00:00:00",,,"H,","(20",,,,,"I+","1/1648","03/29/84 00:00:00","J2","779460","04/01/84 00:00:00","2","01/05/84 00:00:00","07/02/84 00:00:00","12/02/91 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.5800000000000000e+02,"A.","C1","SП",,"EF","378383","829846",,1988,"ВУ 721198",,"0374рох",,,,"07/13/88 00:00:00",,,"H,","(20",,,,,"I*","15/4-5761","12/24/87 00:00:00","J2","28278536","07/04/88 00:00:00","2","01/05/88 00:00:00","07/13/88 00:00:00",,1.2500000000000000e+03,7.5000000000000000e+00,,,
2.5900000000000000e+02,"A.","C2","SН",,"EF","б/н","040630",,1983,"ВР 335480",,"0149рон",,,,"09/12/83 00:00:00",,,"H,","(20",,,,,"I+","10/3-722","03/15/83 00:00:00","J2","79764518","08/29/83 00:00:00","5","01/05/83 00:00:00","09/12/83 00:00:00",,1.2500000000000000e+03,7.5000000000000000e+00,,,
2.6000000000000000e+02,"A-","C-","QW","D.","EA",,"9380","161820",1988,"ВУ 977493",,"0563рою",,,,"08/08/88 00:00:00","F)",,"H6","(,)",,,,,"I*","15/4-5761","12/24/87 00:00:00","J2","17381","08/02/88 00:00:00","2","01/05/88 00:00:00","08/08/88 00:00:00",,2.5000000000000000e+03,1.5000000000000000e+01,,,
2.6100000000000000e+02,"A,","C-","QX","D.","EA",,"115507","142490",1986,"ВУ 173224","05/21/87 00:00:00","1751рдб",,,"05/21/87 00:00:00","05/07/87 00:00:00","F)",,"H6","(,)",,,,,"I+","10/3-630","02/24/86 00:00:00","J2","04668","12/22/86 00:00:00","2","01/05/87 00:00:00","05/07/87 00:00:00","07/23/92 00:00:00",2.5000000000000000e+03,1.5000000000000000e+01,,,
2.6200000000000000e+02,"A-","C*","P(","D.","EA","008686","106362","1185",1985,"ВТ 574396",,"0530рдп",,,,"12/23/85 00:00:00",,,"H6","(,)",,,,,"I+","10/3-462","02/15/85 00:00:00","J-","1351","12/16/85 00:00:00","2","01/05/85 00:00:00","12/23/85 00:00:00",,2.0800000000000000e+03,1.7000000000000000e+01,,,
2.6300000000000000e+02,"A-","C-","QX","D.","EA",,"21351","130709",1986,"ВТ 575299",,"0983рдб",,,,"03/12/86 00:00:00","F)",,"H4","(A",,,,,"I+","10/3-630","02/24/86 00:00:00","J2","56194","03/05/86 00:00:00","2","01/05/86 00:00:00","11/15/91 00:00:00","02/25/93 00:00:00",2.5000000000000000e+03,1.5000000000000000e+01,,,
2.6400000000000000e+02,"A(","C)","NH","D(","EB","625388","569837","8114",1979,"ВН 252916",,"1697рда",,,"04/25/86 00:00:00","09/16/82 00:00:00","F*",,"H4","(,(",,,,,"I*","15/4-4676","08/31/82 00:00:00","J3","акт передачи","09/13/82 00:00:00","2","09/21/82 00:00:00","09/16/82 00:00:00","04/20/92 00:00:00",2.5000000000000000e+03,1.3000000000000000e+01,,,
2.6500000000000000e+02,"A+","C+","Pf","D1","E:","1601538","833739",,1979,"ВЛ 300744",,"1281рдб",,,,"03/02/89 00:00:00",,,"HL","(,)",,,,,"I-",,,"J/","прием.сдат.акт","01/01/89 00:00:00","2","02/01/89 00:00:00","03/02/89 00:00:00",,2.0800000000000000e+03,3.1000000000000000e+01,,,
2.6600000000000000e+02,"A+","C)","Pb","D1","E:","1169434","33548",,1988,"ВУ 974164",,"0945рду",,,,"01/12/88 00:00:00",,,"H6","(,)",,,,,"I*","15/4-5761","12/24/87 00:00:00","J/","3/4097","02/16/88 00:00:00","2","01/05/88 00:00:00","01/12/88 00:00:00",,2.0800000000000000e+03,2.4500000000000000e+01,,,
2.6700000000000000e+02,"A(","C(","N.","D(","EB",,"9277812","4891937",1984,"ВР 572870",,"1426рдб",,,"04/24/86 00:00:00","04/29/84 00:00:00","F)",,"H6","(,)",,,,,"I+","1/1648","03/29/84 00:00:00","J/","3/4300","04/28/84 00:00:00","2","05/10/84 00:00:00","04/29/84 00:00:00","07/14/92 00:00:00",2.5000000000000000e+03,1.0500000000000000e+01,,,
2.6800000000000000e+02,"A(","C)","NK","D(","E)","635189","2256","875927",1980,"ВН 657726",,"1195рдб",,,"10/23/90 00:00:00","08/17/81 00:00:00","F*",,"H6","(,)",,,,,"I*","15/4-4282","08/07/81 00:00:00","J3","акт передачи","08/13/81 00:00:00","6","10/28/81 00:00:00","08/17/81 00:00:00","01/14/92 00:00:00",2.0800000000000000e+03,1.3000000000000000e+01,,,
2.6900000000000000e+02,"A(","C)","NK","D(","E)",,"42299 но","0852851",1983,"ВР 332588",,"0720рдт",,,"12/05/90 00:00:00","10/17/85 00:00:00",,,"H6","(,)",,,,,"I+","10/3-462","02/15/85 00:00:00","J/","1013","01/01/85 00:00:00","2","01/05/85 00:00:00","10/17/85 00:00:00","09/16/93 00:00:00",2.0800000000000000e+03,1.3000000000000000e+01,,,
2.7000000000000000e+02,"A6","C)","P^","D3","E0","0727916","блок нов","195",1984,"ВТ 573856",,"0039ром",,,,"07/29/85 00:00:00",,,"H<","(2*",,,,,"I+","10/3-462","02/15/85 00:00:00","J-","885","07/25/85 00:00:00","2","01/05/85 00:00:00","07/29/85 00:00:00","02/24/93 00:00:00",2.9000000000000000e+03,2.8000000000000000e+01,,,
2.7100000000000000e+02,"A6","C)","Pv","D3","E0","401097","28587","52",1985,"ВТ 299764",,"0713роф",,,,"01/30/86 00:00:00",,,"H<","(V",,,,,"I+","10/3-630","02/24/86 00:00:00","J-","3","01/07/86 00:00:00","2","01/05/86 00:00:00","12/10/91 00:00:00",,2.9000000000000000e+03,3.5000000000000000e+01,,,
2.7200000000000000e+02,"A6","C)","Pv","D3","E0","0226023","2174513","70",1980,"ВО 377995",,"0597роф",,,"06/06/85 00:00:00","11/11/80 00:00:00",,,"H<","(m",,,,,"I*","15/4-6500","12/27/79 00:00:00","J-","137","11/04/80 00:00:00","3","03/04/80 00:00:00","01/01/90 00:00:00",,2.9000000000000000e+03,3.5000000000000000e+01,,,
2.7300000000000000e+02,"A6","C)","P`","D3","E.","1283707","253403",,1990,"ВШ 226887","01/23/91 00:00:00","0100ром",,,"01/23/91 00:00:00","01/01/91 00:00:00",,,"H3","(5",,,,,"I-",,,,,"01/01/91 00:00:00","2","01/05/91 00:00:00","01/01/91 00:00:00",,2.9000000000000000e+03,2.5000000000000000e+01,,,
2.7400000000000000e+02,"A(","C*","OQ","D,","E)","0303766","10105162","4084",1991,"ВШ 914224","03/22/91 00:00:00","1059рдб",,,"03/22/91 00:00:00","02/18/91 00:00:00","F*",,,"(j",,,,,"I+",,,"J/","3/221","02/14/91 00:00:00","2","01/05/91 00:00:00","02/18/91 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,
2.7500000000000000e+02,"A(","C(","N8","D(","E)",,"1181964","2370771",1990,"ВШ 234280",,"0552ром",,,,"06/07/90 00:00:00","F)",,,"(24",,,,,"I(","247","09/28/89 00:00:00","J=",,"01/01/90 00:00:00","2","01/05/90 00:00:00","06/07/90 00:00:00",,2.0800000000000000e+03,9.0000000000000000e+00,,,
2.7600000000000000e+02,"A(","C(","N/","D(","E)",,"7424189","4435624",1984,"ВО 940162",,"1066рдб",,,"10/30/86 00:00:00","01/16/86 00:00:00","F)",,,"(24",,,,,"I+","10/3-3647","12/23/85 00:00:00","J3","приемо-сдат.акт","01/01/86 00:00:00","3","01/05/86 00:00:00","01/16/86 00:00:00","01/21/92 00:00:00",2.0800000000000000e+03,8.5000000000000000e+00,,,
2.7700000000000000e+02,"A(","C*","OQ","D,","E)","138862","71200935","7385",1987,"ВУ 721735",,"0954рда",,,,"02/01/88 00:00:00","F*",,,"(24",,,,,"I*","15/4-419","02/02/87 00:00:00","J3","3/21","12/30/87 00:00:00","2","01/05/88 00:00:00","02/01/88 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,
2.7800000000000000e+02,"A(","C*","OQ","D-","E(","0298624","01110275","8270",1990,"ВЩ 910303","03/01/91 00:00:00","0827рдб",,,"03/01/91 00:00:00","02/27/91 00:00:00","F*","G/","H*","(_",,,,,,,,"J-","164","02/21/91 00:00:00","2","02/14/91 00:00:00","02/27/91 00:00:00",,4.1600000000000000e+03,1.8500000000000000e+01,,,
2.7900000000000000e+02,"A(","C*","OQ","D-","E*","0297581","01108485","7316",1990,"ВЩ 567389","03/04/91 00:00:00","1566рдб",,,"03/04/91 00:00:00","02/27/91 00:00:00","F*","G/","H1","(2)",,,,,,,,"J-","164","02/21/91 00:00:00","2","02/14/91 00:00:00","02/27/91 00:00:00",,2.9000000000000000e+03,1.8500000000000000e+01,,"*(",
2.8000000000000000e+02,"A(","C*","OQ","D-","E*","0302531","10100821","2732",1991,"ВЩ 567390","03/04/91 00:00:00","1567рдб",,,"03/04/91 00:00:00","02/27/91 00:00:00","F*","G/","H1","(2)",,,,,,,,"J-","164","02/21/91 00:00:00","2","02/14/91 00:00:00","02/27/91 00:00:00",,2.9000000000000000e+03,1.8500000000000000e+01,,"*(",
2.8100000000000000e+02,"A(","C)","NK","D(","E)","б/н","775661","621175",1971,"ВГ 781601",,"0887рдб",,,"03/20/90 00:00:00","07/13/71 00:00:00","F*",,,"(24",,,,,"I*","15/4-600","02/02/71 00:00:00","J2","84944","01/01/71 00:00:00","6","03/15/71 00:00:00","05/01/86 00:00:00","11/01/91 00:00:00",2.0800000000000000e+03,1.3000000000000000e+01,,,
2.8200000000000000e+02,"A.","C1","SП",,"EF","б/н","576635",,1985,"ВТ 574914",,"0098рду",,,,"11/28/85 00:00:00",,,"H,","(24",,,,,"I+","10/3-1550","07/10/85 00:00:00","J2","28277391","01/01/85 00:00:00","2","01/05/85 00:00:00","11/28/85 00:00:00","05/14/93 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.8300000000000000e+02,"A.","C1","SС",,"EF","302350","743815",,1987,"ВУ 172494",,"0152рду",,,,"11/26/87 00:00:00",,,"H,","(24",,,,,"I*","15/4-419","02/02/87 00:00:00","J2","28281638","01/01/87 00:00:00","2","01/05/87 00:00:00","11/26/87 00:00:00",,1.2500000000000000e+03,8.4000000000000004e+00,,,
2.8400000000000000e+02,"A.","C1","SС",,"EF",,"997523",,1989,"ВШ 228553",,"0074рду",,,,"12/18/89 00:00:00",,,"H,","(24",,,,,"I*","15/4-211","01/25/89 00:00:00","J2","28318085","11/15/89 00:00:00","2","01/05/89 00:00:00","12/18/89 00:00:00",,1.2500000000000000e+03,8.4000000000000004e+00,,,
2.8500000000000000e+02,"A.","C1","SЛ",,"EF","б/н","215559",,1980,"ВЛ 299460",,"0052рду",,,,"02/07/80 00:00:00",,,"H,","(24",,,,,"I*","15/4-6500","12/27/79 00:00:00","J2","998655","01/27/80 00:00:00","3","03/04/80 00:00:00","02/07/80 00:00:00","04/07/93 00:00:00",1.2500000000000000e+03,7.5000000000000000e+00,,,
2.8600000000000000e+02,"A/",,"TЩ",,"EG",,,,1991,,,"0022рою",,,,,,,,"(a",,,,,,,,,,"01/01/90 00:00:00",,,"08/07/92 00:00:00",,0.0000000000000000e+00,1.5000000000000000e+01,,,
2.8700000000000000e+02,"A(","C*","OO","D,","E)","619390","50207509","тент нов",1985,"ВТ 882038",,"0194рда",,,,"03/07/85 00:00:00","F*",,,"(2(",,,,,"I+","10/3-462","02/15/85 00:00:00","J/","3/4202","03/06/85 00:00:00","2","01/05/85 00:00:00","09/17/93 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,
2.8800000000000000e+02,"A(","C(","N7","D(","E)",,"9685346","1772803",1987,"ВУ 720966",,"1494рда",,,"04/06/90 00:00:00","11/26/87 00:00:00","F)",,,"(23",,,,,"I*","15/4-419","02/02/87 00:00:00","J0","3/1563","09/24/87 00:00:00","2","01/05/87 00:00:00","11/26/87 00:00:00","05/20/92 00:00:00",2.0800000000000000e+03,1.0000000000000000e+01,,,
2.8900000000000000e+02,"A(","C*","ON","D-","E(","571381","40307166",,1984,"ВР 341219",,"0497рдб",,,,"05/28/84 00:00:00","F*",,"H*","(23",,,,,"I+","1/1648","03/29/84 00:00:00","J-","483","05/23/84 00:00:00","2","01/05/84 00:00:00","05/28/84 00:00:00","05/21/92 00:00:00",4.1600000000000000e+03,1.8500000000000000e+01,,,
2.9000000000000000e+02,"A(","C*","OO","D,","E)","263261","1229618",,1978,"ВК 923834",,"0802роф",,,,"05/22/78 00:00:00","F*",,,"(23",,,,,"I*","15/4-610","02/03/78 00:00:00","J/","3/1499","05/22/78 00:00:00","3","03/17/78 00:00:00","01/01/86 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,
